date,temperature,humidity,lumnosity
2022-11-27 12:53:35.170,25.0,48.8,255
2022-11-27 12:53:33.527,25.0,48.8,255
2022-11-27 12:53:31.885,25.0,48.7,255
2022-11-27 12:53:30.242,25.0,48.8,255
2022-11-27 12:53:28.600,25.0,48.0,255
2022-11-27 12:53:26.958,25.0,48.8,255
2022-11-27 12:53:25.316,25.0,48.8,255
2022-11-27 12:53:23.673,25.0,48.7,255
2022-11-27 12:53:22.030,25.0,48.9,255
2022-11-27 12:53:20.387,25.0,48.9,255
2022-11-27 12:53:18.744,25.0,48.9,256
2022-11-27 12:53:17.101,25.0,48.8,256
2022-11-27 12:53:15.459,25.0,48.7,257
2022-11-27 12:53:13.815,25.0,48.8,256
2022-11-27 12:53:12.171,25.0,48.8,257
2022-11-27 12:53:10.529,26.9,48.8,257
2022-11-27 12:53:08.885,25.0,48.8,257
2022-11-27 12:53:07.242,26.9,48.8,256
2022-11-27 12:53:05.599,25.0,48.7,256
2022-11-27 12:53:03.956,25.0,48.6,256
2022-11-27 12:53:02.312,25.0,48.8,256
2022-11-27 12:53:00.669,25.0,48.8,256
2022-11-27 12:52:59.025,25.0,48.6,256
2022-11-27 12:52:57.381,25.0,48.7,256
2022-11-27 12:52:55.739,25.0,48.8,256
2022-11-27 12:52:54.096,25.0,48.7,256
2022-11-27 12:52:52.453,25.0,48.8,255
2022-11-27 12:52:50.809,25.0,48.6,253
2022-11-27 12:52:49.165,25.0,48.9,254
2022-11-27 12:52:47.522,25.0,48.7,254
2022-11-27 12:52:45.878,26.9,48.9,254
2022-11-27 12:52:44.235,25.0,48.6,254
2022-11-27 12:52:42.593,25.0,48.6,254
2022-11-27 12:52:40.950,25.0,48.7,254
2022-11-27 12:52:39.306,25.0,48.7,254
2022-11-27 12:52:37.662,25.0,48.8,255
2022-11-27 12:52:36.019,25.0,48.8,255
2022-11-27 12:52:34.376,25.0,48.6,255
2022-11-27 12:52:32.734,25.0,48.6,255
2022-11-27 12:52:31.090,25.0,48.6,255
2022-11-27 12:52:29.447,25.0,48.6,255
2022-11-27 12:52:27.804,25.0,48.5,255
2022-11-27 12:52:26.161,25.0,48.5,255
2022-11-27 12:52:26.518,25.0,48.6,254
2022-11-27 12:52:22.874,25.0,48.8,255
2022-11-27 12:52:21.231,25.0,48.7,255
2022-11-27 12:52:19.589,25.0,48.5,255
2022-11-27 12:52:17.947,25.0,48.4,255
2022-11-27 12:52:16.303,25.0,48.3,255
2022-11-27 12:52:14.659,25.0,48.5,254
2022-11-27 12:52:13.016,25.0,48.5,254
2022-11-27 12:52:11.373,25.0,48.3,254
2022-11-27 12:52:09.730,25.0,48.4,254
2022-11-27 12:52:08.087,25.0,48.3,254
2022-11-27 12:52:06.444,25.0,48.4,254
2022-11-27 12:52:04.801,25.0,48.4,254
2022-11-27 12:52:03.159,25.0,48.3,255
2022-11-27 12:52:01.515,25.0,48.4,254
2022-11-27 12:51:59.873,26.9,48.5,254
2022-11-27 12:51:58.229,25.0,48.5,252
2022-11-27 12:51:56.586,25.0,48.4,253
2022-11-27 12:51:54.943,26.9,48.4,253
2022-11-27 12:51:53.300,26.9,48.3,253
2022-11-27 12:51:51.658,25.0,48.4,253
2022-11-27 12:51:50.013,25.0,48.4,254
2022-11-27 12:51:48.370,25.0,48.2,254
2022-11-27 12:51:46.727,25.0,48.3,253
2022-11-27 12:51:45.082,25.0,48.3,253
2022-11-27 12:51:43.439,25.0,48.2,253
2022-11-27 12:51:41.795,25.0,48.2,253
2022-11-27 12:51:40.152,26.9,48.2,253
